Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Read blend: "/home/nicklee/Phenix_Project/Drone/environments/villa_v1/renders/assets_equipment/equipment_smoke.blend"
Fra:1 Mem:250.09M (Peak 250.11M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.031
Fra:1 Mem:250.13M (Peak 250.13M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.045
Fra:1 Mem:250.22M (Peak 250.22M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Cupholder rim
Fra:1 Mem:250.18M (Peak 250.22M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.032
Fra:1 Mem:250.30M (Peak 250.30M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.033
Fra:1 Mem:250.31M (Peak 250.31M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.047
Fra:1 Mem:250.36M (Peak 250.36M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.034
Fra:1 Mem:250.43M (Peak 250.43M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.048
Fra:1 Mem:250.42M (Peak 250.43M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Cupholder rim.001
Fra:1 Mem:250.45M (Peak 250.45M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.050
Fra:1 Mem:250.46M (Peak 250.46M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ebony key.036
Fra:1 Mem:250.54M (Peak 250.54M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Ivory key.051
Fra:1 Mem:250.57M (Peak 250.57M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Music desk
Fra:1 Mem:250.56M (Peak 250.57M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Tapered leg
Fra:1 Mem:250.62M (Peak 250.62M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass caster stem
