Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:82.76M (Peak 82.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.016
Fra:1 Mem:82.75M (Peak 82.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.006
Fra:1 Mem:82.76M (Peak 82.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.021
Fra:1 Mem:82.79M (Peak 82.79M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.018
Fra:1 Mem:82.89M (Peak 82.89M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.007
Fra:1 Mem:83.05M (Peak 83.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.018
Fra:1 Mem:83.05M (Peak 83.05M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.022
Fra:1 Mem:83.13M (Peak 83.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.019
Fra:1 Mem:83.13M (Peak 83.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.023
Fra:1 Mem:83.12M (Peak 83.13M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.020
Fra:1 Mem:83.20M (Peak 83.20M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_rail.001
Fra:1 Mem:83.20M (Peak 83.20M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.008
Fra:1 Mem:83.19M (Peak 83.20M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.021
Fra:1 Mem:83.22M (Peak 83.22M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.025
Fra:1 Mem:83.28M (Peak 83.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.007
Fra:1 Mem:83.34M (Peak 83.34M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.021
Fra:1 Mem:83.41M (Peak 83.41M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.022
Fra:1 Mem:83.44M (Peak 83.44M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.007
Fra:1 Mem:83.45M (Peak 83.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Shelf.023
Fra:1 Mem:83.52M (Peak 83.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__LED_diffuser.027
Fra:1 Mem:83.54M (Peak 83.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Varied_books.023
Fra:1 Mem:83.58M (Peak 83.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | bookshelf__Ceramic_vase.009
Fra:1 Mem:83.67M (Peak 83.67M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Timber_back
Fra:1 Mem:83.66M (Peak 83.67M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Recessed_plinth
Fra:1 Mem:83.72M (Peak 83.72M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Vertical_partition_0
Fra:1 Mem:83.70M (Peak 83.72M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Vertical_partition_1
Fra:1 Mem:83.74M (Peak 83.74M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Vertical_partition_2
Fra:1 Mem:83.77M (Peak 83.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Vertical_partition_3
Fra:1 Mem:83.84M (Peak 83.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Vertical_partition_4
Fra:1 Mem:83.90M (Peak 83.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Continuous_shelf
Fra:1 Mem:83.90M (Peak 83.90M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_shelf
Fra:1 Mem:83.92M (Peak 83.92M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED
Fra:1 Mem:83.97M (Peak 83.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.008
Fra:1 Mem:83.96M (Peak 83.97M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_shelf.001
Fra:1 Mem:84.03M (Peak 84.03M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED.001
Fra:1 Mem:84.04M (Peak 84.04M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_front
Fra:1 Mem:84.06M (Peak 84.06M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_pull
Fra:1 Mem:84.15M (Peak 84.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_front.001
Fra:1 Mem:84.12M (Peak 84.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.009
Fra:1 Mem:84.14M (Peak 84.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_2
Fra:1 Mem:84.16M (Peak 84.16M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_3
Fra:1 Mem:84.20M (Peak 84.20M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_4
Fra:1 Mem:84.30M (Peak 84.30M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Individual_hanger.010
Fra:1 Mem:84.36M (Peak 84.36M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_5
Fra:1 Mem:84.45M (Peak 84.45M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Hanging_jacket_6
Fra:1 Mem:84.47M (Peak 84.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Folded_textiles
Fra:1 Mem:84.52M (Peak 84.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.010
Fra:1 Mem:84.54M (Peak 84.54M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Folded_textiles.002
Fra:1 Mem:84.64M (Peak 84.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_shelf.002
